单词,词性,释义
Main Idea / Central Idea,n.,主旨大意
Detail / Specific Information,n.,细节信息
Inference,n.,推断题 (根据文意推断)
Author's Purpose,n.,"作者目的 (to inform, to persuade, to entertain - 告知、说服、娱乐)"
Author's Tone,n.,"作者语气 (objective, critical, supportive - 客观的、批判的、支持的)"
Vocabulary in Context,n.,上下文词义
Text Structure / Organization,n.,"文本结构 (chronological, cause and effect, compare and contrast - 按时间顺序、因果关系、比较与对比)"
Figurative Language,n.,"修辞语言 (metaphor, simile, personification - 隐喻、明喻、拟人)"
Fact vs. Opinion,n.,事实与观点
Identify,v.,识别 / 找出
Explain,v.,解释
Describe,v.,描述
Define,v.,定义
Illustrate / Demonstrate,v.,举例说明 / 证明
Support / Justify,v.,(用证据)支持 / 证明…是正当的
Analyze,v.,分析
Evaluate,v.,评估 / 评价
Synthesize,v.,综合 / 整合
Cite,v.,引用 (原文)
Compare,v.,比较 (相同点)
Contrast,v.,对比 (不同点)
Determine,v.,确定
Evidence,n.,证据
Claim / Argument,n.,主张 / 论点
Assumption,n.,假设
Implication / Imply,"n./v.",暗示 / 意味着
Perspective / Point of View,n.,视角 / 观点
Bias,n.,偏见
Context,n.,上下文 / 背景
Significance / Importance,n.,重要性 / 意义
Relationship,n.,(事物间的)关系
Function / Role,n.,功能 / 作用
Thesis Statement,n.,(回答的)中心论点
Topic Sentence,n.,主题句
Supporting Detail,n.,支撑细节
Example / Instance,n.,例子 / 实例
Quotation / Quote,n.,引文 / 引用
Explanation,n.,解释说明
Transition,n.,"过渡词 (e.g., however, therefore, in addition - 然而、因此、此外)"
To conclude / In summary,adv.,总而言之
Restate,v.,重申
